,lat,log
0,25.1970801041,121.570972893
1,25.1969199625,121.570946719
2,25.1965345456,121.570812826
3,25.1963697451,121.570824462
4,25.1960981657,121.571018544
5,25.1958279906,121.571433099
6,25.195398063,121.571721013
7,25.1952626383,121.572306425
8,25.1950558981,121.572658326
9,25.1949736748,121.572909722
10,25.1950058915,121.573332194
11,25.1951599826,121.573849502
12,25.1951361424,121.574177139
13,25.1954691477,121.575021169
14,25.1955668766,121.575426584
15,25.1955840006,121.575666044
16,25.1955585604,121.57582344
17,25.1954200567,121.576037051
18,25.1953182501,121.576099516
19,25.1952773791,121.57616258
20,25.1952245636,121.576395196
21,25.1953194254,121.576956566
22,25.1952777992,121.577213108
23,25.1951915017,121.577349444
24,25.1948700511,121.577597227
25,25.1947271285,121.577785385
26,25.1945415078,121.578504188
27,25.1944868542,121.578628577
28,25.1942055926,121.57898662
29,25.1941350876,121.579124579
30,25.1941415124,121.579212979
31,25.1942088976,121.579295156
32,25.1943867256,121.579415682
33,25.1947585682,121.579556046
34,25.1949699025,121.579765105
35,25.195225833,121.580112357
36,25.195364152,121.580522931
37,25.1953745932,121.580737858
38,25.195319965,121.581429996
39,25.1952968979,121.581556084
40,25.1951624038,121.581895597
41,25.1950697478,121.582500108
42,25.195054791,121.582859101
43,25.1950088348,121.583066629
44,25.1949360536,121.583208295
45,25.1947931955,121.583378776
46,25.1945796087,121.583742093
47,25.1943101741,121.583387947
48,25.1941711688,121.583153492
49,25.193928155,121.582966914
50,25.1938110185,121.582909924
51,25.1935133137,121.582856724
52,25.1932159442,121.582717951
53,25.1930760389,121.582711703
54,25.1929811018,121.582748458
55,25.1927682598,121.582923873
56,25.1923484141,121.58351038
57,25.192018325,121.583749108
58,25.1918286477,121.583773008
59,25.1915421273,121.58365196
60,25.191467667,121.583647264
61,25.1909391255,121.583844424
62,25.1908692601,121.583818975
63,25.1907677152,121.583723924
64,25.1906572506,121.583692081
65,25.1904491312,121.58390379
66,25.1902999257,121.583966331
67,25.1900582633,121.584009204
68,25.1899048674,121.583989559
69,25.189699998,121.583859292
70,25.1894949259,121.583780799
71,25.1893571281,121.583811767
72,25.1890471618,121.584005625
73,25.188936498,121.584024011
74,25.1887381383,121.583960124
75,25.1886686963,121.5838274
76,25.1886575919,121.583694952
77,25.1887195164,121.583444411
78,25.188711239,121.58325431
79,25.1886397508,121.583067935
80,25.1885880652,121.583010949
81,25.1884010669,121.582928204
82,25.1878950003,121.583058188
83,25.1877573281,121.583057533
84,25.1875792332,121.583006147
85,25.187406258,121.582801
86,25.1871687865,121.582352775
87,25.187085666,121.582254401
88,25.1869754267,121.582165204
89,25.1866959702,121.582063107
90,25.1863470427,121.581834491
91,25.1861869631,121.581792805
92,25.1860448358,121.581777867
93,25.1858844504,121.581813693
94,25.1857555376,121.581882222
95,25.1853820477,121.582160422
96,25.1848996758,121.582577622
97,25.1845762958,121.58273979
98,25.1843415277,121.582751384
99,25.1838162412,121.582604094
100,25.1836721979,121.582502335
101,25.1835591535,121.581979066
102,25.183433707,121.581739114
103,25.1833550139,121.581663091
104,25.1827873673,121.581382599
105,25.1824557737,121.581337621
106,25.1823746837,121.581296929
107,25.1820511659,121.580919628
108,25.1818775331,121.580880979
109,25.1814483752,121.580967306
110,25.1809186041,121.581386753
111,25.1805534288,121.581271858
112,25.1804270185,121.581277461
113,25.1800872458,121.581590842
114,25.1799412944,121.581974284
115,25.1798051134,121.582168958
116,25.1794595006,121.582245135
117,25.179139425,121.582140682
118,25.1790151664,121.582173265
119,25.1788069021,121.582331942
120,25.1784202048,121.582525422
121,25.1782255793,121.582659362
122,25.1774805164,121.583301606
123,25.1769742314,121.583486766
124,25.1768658703,121.583494
125,25.1768253202,121.583474893
126,25.1767878205,121.583254289
127,25.1767249265,121.583178339
128,25.1765110799,121.583035332
129,25.1762698551,121.582967529
130,25.1755994901,121.582980771
131,25.1753920791,121.582923052
132,25.1749306789,121.582599364
133,25.1746566024,121.58227688
134,25.1744339368,121.582080509
135,25.1740692193,121.581849673
136,25.1739001649,121.581794617
137,25.173798878,121.581724691
138,25.1736037402,121.581415298
139,25.173230909,121.580951293
140,25.1728462441,121.580627052
141,25.1725090424,121.58028537
142,25.1720610179,121.579426679
143,25.1718248798,121.579211343
144,25.1713521635,121.578894135
145,25.1710080392,121.57858994
146,25.1708778527,121.578406729
147,25.1705642718,121.577794217
148,25.1703711377,121.57754778
149,25.1701303616,121.577363739
150,25.169929841,121.577274752
151,25.169769697,121.577248887
152,25.1691401235,121.577219882
153,25.168703925,121.577375932
154,25.1684512982,121.577336921
155,25.1672654189,121.577010175
156,25.1669899529,121.577040499
157,25.1667767733,121.577303928
158,25.1661558251,121.577956031
159,25.1656995046,121.578640527
160,25.1655603308,121.57902427
161,25.1654378298,121.579760556
162,25.1654067131,121.580213932
163,25.1655233166,121.58098297
164,25.1654284864,121.582141603
165,25.1654387798,121.582393679
166,25.1654785852,121.582601877
167,25.1657569305,121.582987286
168,25.1657833162,121.583164731
169,25.1657650129,121.583227573
170,25.1655747604,121.583396856
171,25.1652584734,121.583477192
172,25.1650933716,121.583564444
173,25.1650300483,121.583639785
174,25.1649318829,121.58392296
175,25.1648716128,121.584325664
176,25.1647622355,121.584589565
177,25.1646214104,121.584816121
178,25.1639909511,121.585581272
179,25.1635457775,121.586290885
180,25.1634177162,121.586712477
181,25.1633944479,121.58688875
182,25.1634226892,121.587166016
183,25.1633926249,121.587348456
184,25.1632198001,121.587675286
185,25.1630274322,121.587807659
186,25.1629638145,121.587914298
187,25.162964698,121.58825963
188,25.1630713049,121.588694746
189,25.1632235413,121.589005467
190,25.163490812,121.589334098
191,25.1636769372,121.589636305
192,25.1637257107,121.58985694
193,25.1612247911,121.5904748
194,25.1609786874,121.590499032
195,25.1605703098,121.590465448
196,25.160330875,121.590514824
197,25.159984939,121.590670629
198,25.159111859,121.591145031
199,25.1581712438,121.591575086
200,25.1576716845,121.591767959
201,25.1574820797,121.591773243
202,25.1570067752,121.591544361
203,25.1566002779,121.591605325
204,25.1562384657,121.591779954
205,25.1558997008,121.591835045
206,25.1557169644,121.591815254
207,25.1552098318,121.591644494
208,25.1550972681,121.591572969
209,25.1548413897,121.591218994
210,25.1546645499,121.590852687
211,25.1545273048,121.590745087
212,25.1543943819,121.590685553
213,25.1534563735,121.590462821
214,25.1533550122,121.590411812
215,25.1531257375,121.590177306
216,25.1527108147,121.589520668
217,25.1525556124,121.58938757
218,25.1524180652,121.589355602
219,25.1522391174,121.589518402
220,25.1521301533,121.589676271
221,25.1514318865,121.591026194
222,25.1510096595,121.591635089
223,25.1509456853,121.591830052
224,25.1508151169,121.592874911
225,25.1505334938,121.593314307
226,25.1502909292,121.593577839
227,25.1499878449,121.593740026
228,25.1495970443,121.593826161
229,25.1482834072,121.593845222
230,25.1480981546,121.593889886
231,25.1478332111,121.594108977
232,25.1475154957,121.594541988
233,25.1472277791,121.594811484
234,25.1462684092,121.595411535
235,25.1452171131,121.59585988
236,25.1448216684,121.595977597
237,25.1444108412,121.595992028
238,25.1442912492,121.595984941
239,25.1435902447,121.59575745
240,25.1435021986,121.595763222
241,25.1433529629,121.595831923
242,25.1430947607,121.596057232
243,25.1429858269,121.596206093
244,25.1427944377,121.596654262
245,25.1426626975,121.596861274
246,25.1425584467,121.596968007
247,25.1422143779,121.597218309
248,25.1416510569,121.597549055
249,25.1410233442,121.598175778
250,25.1408515132,121.598250566
251,25.1403907411,121.598336648
252,25.140288901,121.598405266
253,25.140161646,121.598618804
254,25.1400499104,121.598901847
255,25.1396982419,121.599913899
256,25.1393503805,121.600541972
257,25.1392732467,121.600639842
258,25.1389474463,121.600835982
259,25.1383786808,121.601393847
260,25.1378899322,121.601699828
261,25.1378344978,121.602011959
262,25.1376977146,121.602347553
263,25.1375180082,121.602693163
264,25.1371727518,121.6032329
265,25.1369932903,121.603483983
266,25.1367144407,121.603788809
267,25.136553686,121.603913846
268,25.1361918569,121.604088409
269,25.1362652057,121.604365833
270,25.1364647877,121.604681692
271,25.1365906892,121.60480194
272,25.1369330241,121.604979967
273,25.1369891009,121.605064853
274,25.1369657596,121.605253788
275,25.1367450856,121.605681006
276,25.1366773271,121.605693067
277,25.1364955568,121.605437729
278,25.1363649368,121.605367665
279,25.1359000851,121.605346468
280,25.1355506342,121.605253009
281,25.1350868734,121.604964675
282,25.134709035,121.604638023
283,25.1345490341,121.604577731
284,25.1342351911,121.604607801
285,25.1338270727,121.604511266
286,25.1333683726,121.60464134
287,25.132805471,121.604865112
288,25.1327151682,121.604871173
289,25.1316555366,121.604588901
290,25.1311230031,121.604560864
291,25.1308361651,121.604609968
292,25.1307432972,121.604691327
293,25.1307135714,121.6047857
294,25.1304935521,121.606157788
295,25.1304835478,121.606396673
296,25.1305275271,121.60668014
297,25.1303484662,121.607416202
298,25.1301977551,121.607843427
299,25.1292352565,121.607542713
300,25.1291474564,121.607488354
301,25.1289160091,121.607238984
302,25.1280638268,121.606453834
303,25.1276415819,121.605948172
304,25.1272547025,121.605624903
305,25.126711351,121.604929615
306,25.1262770358,121.604615418
307,25.1260537652,121.604573722
308,25.1259683084,121.604497688
309,25.1257685964,121.604213467
310,25.1257465399,121.604087542
311,25.1257590822,121.603778955
312,25.1255251799,121.603576378
313,25.125507638,121.603450168
314,25.1255259243,121.603393547
315,25.1261764145,121.602760843
316,25.1261947774,121.602685318
317,25.1261774124,121.602515412
318,25.1260184228,121.602205979
319,25.1260380651,121.601815609
320,25.126024805,121.601746441
321,25.1259798444,121.601701905
322,25.1243547397,121.601164963
323,25.1234543233,121.60113546
324,25.1232533289,121.601166084
325,25.1225661535,121.600868953
326,25.1218038625,121.600728873
327,25.1215179454,121.600551152
328,25.1212548803,121.600304133
329,25.1206938983,121.600055039
330,25.1203517826,121.599821269
331,25.1203524019,121.599668192
332,25.1204208763,121.599479501
333,25.1204237604,121.599323955
334,25.1202578816,121.599042708
335,25.1201140851,121.598881799
336,25.1195841441,121.59877014
337,25.1187235448,121.59838201
338,25.1177724038,121.598058211
339,25.1174638126,121.597905493
340,25.1171893363,121.597688177
341,25.1166532943,121.597410408
342,25.1164570402,121.597384353
343,25.1162331473,121.597496437
344,25.1160956528,121.597451457
345,25.1155764,121.596926499
346,25.1152565757,121.596761028
347,25.1147998815,121.59639379
348,25.1144598132,121.596210559
349,25.1142888266,121.59607525
350,25.1141834148,121.595909273
351,25.1141259437,121.595607806
352,25.1137043561,121.595490808
353,25.1134718332,121.595503932
354,25.1132433417,121.595636996
355,25.1127697996,121.596092363
356,25.1123331873,121.596344018
357,25.1120643057,121.596418319
358,25.1115948432,121.596420378
359,25.1112604027,121.59652132
360,25.1106107563,121.596990383
361,25.1095095665,121.597495048
362,25.1094166262,121.597595298
363,25.1091596913,121.598065332
364,25.1088963895,121.598434632
365,25.1089354634,121.598819033
366,25.1089005168,121.599089361
367,25.1087210993,121.599365492
368,25.1084516738,121.599573946
369,25.1084288063,121.599647578
370,25.1084210267,121.599896966
371,25.1085689565,121.600151764
372,25.1085911162,121.600252882
373,25.1085861956,121.600353562
374,25.1084349787,121.600910548
375,25.108385938,121.601315898
376,25.1083887753,121.602285427
377,25.1081808716,121.602904721
378,25.1078857597,121.603271371
379,25.1077925247,121.603442876
380,25.1076772491,121.604038449
381,25.107463172,121.604509598
382,25.1073739167,121.604811566
383,25.1073552661,121.605510167
384,25.1072933192,121.606309566
385,25.1069709515,121.60676722
386,25.1069230788,121.607434383
387,25.1067378401,121.608025262
388,25.1065445862,121.608368539
389,25.1061994854,121.608864431
390,25.1059674412,121.609310069
391,25.1051276393,121.610454471
392,25.1049739449,121.611055412
393,25.1047323351,121.611629884
394,25.1046383709,121.611975812
395,25.1046262916,121.61321788
396,25.104577697,121.613507332
397,25.104490608,121.613827266
398,25.1043086486,121.614165004
399,25.1039520648,121.615247943
400,25.1037680494,121.615536714
401,25.1032902085,121.615924709
402,25.1031925568,121.616068909
403,25.1030656708,121.616187868
404,25.1026744297,121.616374903
405,25.1023119834,121.616694066
406,25.1019166466,121.616780384
407,25.1015495548,121.617129885
408,25.1011739784,121.617349526
409,25.1010285939,121.617574349
410,25.1008802349,121.617971109
411,25.100730173,121.618234942
412,25.1004922481,121.618460228
413,25.1002160838,121.618654026
414,25.09987738,121.619231379
415,25.0995531328,121.619588828
416,25.0992238384,121.620074515
417,25.0988335714,121.620567327
418,25.0985784187,121.621132698
419,25.0982879173,121.621515715
420,25.0980297268,121.621727944
421,25.0976837444,121.621884513
422,25.0973397924,121.622095925
423,25.0972875363,121.622177451
424,25.0971778288,121.62250437
425,25.0969212778,121.623365592
426,25.0970226902,121.623938952
427,25.0970828642,121.624657094
428,25.0970809287,121.625116538
429,25.0970506332,121.625342856
430,25.0969594232,121.625562983
431,25.0966082409,121.625881851
432,25.0960447885,121.626225661
433,25.0957987794,121.626224408
434,25.0955065936,121.62593325
435,25.0951813236,121.625459445
436,25.0950396374,121.625339139
437,25.0944310353,121.625150472
438,25.0938311425,121.625037134
439,25.0937272957,121.6250428
440,25.0929848321,121.62555516
441,25.0924109999,121.625684527
442,25.0922165822,121.625759131
443,25.0914694418,121.626309253
444,25.0913249684,121.626314712
445,25.0910167979,121.626067784
446,25.0908523824,121.625985159
447,25.0907193539,121.625952883
448,25.0905025798,121.625976875
449,25.0903917207,121.626039508
450,25.0895397737,121.626822051
451,25.0883880884,121.628030656
452,25.0882160242,121.628155863
453,25.0879809996,121.628224674
454,25.0870870218,121.628269677
455,25.0869785244,121.628306919
456,25.0865756885,121.628562914
457,25.0864536788,121.628593578
458,25.0863004146,121.62854261
459,25.085911128,121.628263674
460,25.0853683619,121.627984887
461,25.0849229726,121.627629157
462,25.0846999823,121.627520833
463,25.0844290911,121.627532151
464,25.08420084,121.627600377
465,25.0837277706,121.627918899
466,25.0835401225,121.627993526
467,25.0832288156,121.627954143
468,25.0830868397,121.627902926
469,25.0826071369,121.627655135
470,25.0824698861,121.627553758
471,25.0822587683,121.627307032
472,25.0821448599,121.626488337
473,25.0820159989,121.626002884
474,25.0819150199,121.625863901
475,25.0810962851,121.625192488
476,25.0809682454,121.625047174
477,25.080766892,121.624624244
478,25.0806816298,121.62450424
479,25.080562593,121.624365165
480,25.0803848711,121.624225799
481,25.0801392309,121.624136268
482,25.0800354368,121.624129372
483,25.0797551712,121.624222431
484,25.0793681912,121.624465803
485,25.0791921173,121.624471416
486,25.0789625402,121.624319086
487,25.0787002984,121.623883464
488,25.0785854284,121.623826194
489,25.078495123,121.623831935
490,25.0782600766,121.623906325
491,25.0781785868,121.6239626
492,25.0780399305,121.624194838
493,25.0779234467,121.624521668
494,25.0778149785,121.624552403
495,25.0777406567,121.624514235
496,25.0776036146,121.624362683
497,25.0775229728,121.624217307
498,25.077296488,121.623329
499,25.0772652598,121.62324056
500,25.0771730933,121.623151814
501,25.0768864801,121.623144164
502,25.0762493205,121.623304493
503,25.0757097391,121.623339553
504,25.0755267087,121.623389118
505,25.0753456469,121.623507766
506,25.0751973827,121.623878412
507,25.0751183068,121.62389691
508,25.0750486575,121.623820973
509,25.0750735808,121.623260754
510,25.0750107823,121.623165957
511,25.0748620313,121.623115026
512,25.0746159645,121.623126479
513,25.0745863334,121.623195404
514,25.0746779978,121.623403715
515,25.0746998269,121.623580076
516,25.0745839277,121.623768131
517,25.0745500194,121.623780658
518,25.0745095263,121.623748857
519,25.0744873006,121.623666971
520,25.074535569,121.623459679
521,25.0743064388,121.623200184
522,25.0742095993,121.623149514
523,25.0740312446,121.623160999
524,25.0740859233,121.623576967
525,25.0740744798,121.623614699
526,25.0740247751,121.623626835
527,25.0739842538,121.623601544
528,25.0737850723,121.623197545
529,25.0735289883,121.622906941
530,25.073556689,121.622806411
531,25.0738030963,121.622713181
532,25.0739655475,121.622726395
533,25.0740844235,121.622859261
534,25.0741770651,121.622834638
535,25.0742635227,121.62271551
536,25.0743030288,121.622444983
537,25.0743394299,121.622375782
538,25.0746042106,121.622207371
539,25.0747178232,121.622025499
540,25.0747249116,121.621949955
541,25.0747026069,121.621886651
542,25.0746328762,121.621829924
543,25.0743059834,121.62173999
544,25.074231711,121.621689434
545,25.0741643456,121.62160701
546,25.0740055759,121.621253708
547,25.0738840134,121.621177824
548,25.0737649186,121.621051152
549,25.0734505989,121.620653082
550,25.0733875858,121.62060878
551,25.0731281254,121.620585168
552,25.072624579,121.620639313
553,25.0723938648,121.620757715
554,25.0722329081,121.620926959
555,25.0721283748,121.621096484
556,25.0720196699,121.621183906
557,25.0718523896,121.621245941
558,25.0710263028,121.621248145
559,25.0706310668,121.62130903
560,25.0704257088,121.621301489
561,25.0703150637,121.621313632
562,25.0699193783,121.621481686
563,25.0696394062,121.621505361
564,25.0695650576,121.621473393
565,25.0696024616,121.621165076
566,25.0695895242,121.62102036
567,25.069492895,121.620919203
568,25.0692696354,121.620874097
569,25.0691705393,121.620823108
570,25.0686742688,121.620216605
571,25.0686007876,121.619977114
572,25.0686386606,121.619555435
573,25.0683680569,121.619497392
574,25.0682712689,121.619434027
575,25.0680947789,121.618998881
576,25.0680207804,121.618882355
577,25.0676340083,121.61853722
578,25.0676162409,121.61846775
579,25.0676754707,121.617794669
580,25.0676533729,121.617681192
581,25.067597261,121.617605336
582,25.0675004194,121.617554672
583,25.0671911593,121.61756551
584,25.0669085125,121.617690157
585,25.0666210099,121.617896238
586,25.0664786363,121.61793982
587,25.0661739679,121.617931786
588,25.0655268373,121.617777699
589,25.0652058235,121.61790184
590,25.0651133389,121.617888675
591,25.0651255936,121.617655818
592,25.0651847196,121.617549255
593,25.0654362126,121.617317596
594,25.0658728595,121.61706797
595,25.0658956392,121.617017906
596,25.0658918558,121.616841647
597,25.0658583413,121.616759709
598,25.0657954085,121.616696209
599,25.065560914,121.616638662
600,25.0651297262,121.616661593
601,25.0650214668,121.616642155
602,25.0639176049,121.616139513
603,25.0635269012,121.617282941
604,25.0632899738,121.617810461
605,25.0631866288,121.61823799
606,25.062920069,121.618834428
607,25.0623842175,121.61959955
608,25.0620030472,121.620075707
609,25.0615880992,121.620533255
610,25.0607587564,121.621315777
611,25.0602358383,121.621684497
612,25.0598217841,121.62192771
613,25.0594328712,121.622095783
614,25.0589673016,121.622244266
615,25.0582774725,121.622587047
616,25.0577318615,121.622924046
617,25.0564323605,121.623867971
618,25.0559322972,121.624167406
619,25.0557469348,121.62423553
620,25.0554265209,121.624215014
621,25.0552600588,121.624082237
622,25.0550163995,121.623520749
623,25.0550125187,121.623369903
624,25.0553566654,121.623113348
625,25.0554655831,121.62297546
626,25.0556568539,121.622636678
627,25.0562053641,121.622085684
628,25.0563937486,121.621834836
629,25.0565962778,121.621439424
630,25.0566674032,121.6211629
631,25.0566915513,121.62078548
632,25.0566475427,121.620514566
633,25.0565150914,121.620343867
634,25.0563034591,121.620217056
635,25.056125328,121.620175589
636,25.0558229061,121.62017066
637,25.0555765272,121.620257379
638,25.0549947998,121.620657384
639,25.0546441267,121.62085662
640,25.054237237,121.621006016
641,25.0540655234,121.621049131
642,25.0537902755,121.621022656
643,25.0536459871,121.620984144
644,25.0534231526,121.620838078
645,25.053085946,121.620515528
646,25.0530930584,121.6204338
647,25.0531796381,121.620239122
648,25.0531620028,121.620138378
649,25.0523215166,121.618183059
650,25.0516356843,121.617568892
651,25.0510652117,121.616892746
652,25.0508501912,121.616495255
653,25.0506275345,121.616305225
654,25.0505576324,121.616289389
655,25.0499390303,121.616333368
656,25.0493256563,121.616204567
657,25.0487808679,121.616409339
658,25.0481577486,121.616453606
659,25.0479406867,121.616546977
660,25.0472096503,121.617034179
661,25.0434589421,121.61909805
662,25.043232434,121.619292011
663,25.0430190997,121.619573986
664,25.0427379803,121.619874508
665,25.0424051322,121.620130796
666,25.0410994292,121.620948582
667,25.0406170155,121.621349038
668,25.040172863,121.621774765
669,25.0400752871,121.621899999
670,25.0399886014,121.622119738
671,25.0397588754,121.623557303
672,25.0396029707,121.624135595
673,25.0395506663,121.62422947
674,25.0394124911,121.6243483
675,25.038573948,121.624633594
676,25.0378513541,121.624718188
677,25.037783515,121.62474912
678,25.0377539104,121.624811832
679,25.0377310492,121.62488108
680,25.0377521898,121.625220888
681,25.0378145352,121.625422796
682,25.0379957871,121.625794693
683,25.0380133896,121.625901927
684,25.0379480473,121.626411301
685,25.0378134022,121.626763016
686,25.0374386576,121.627317576
687,25.0372951288,121.627634867
688,25.0371558854,121.628005445
689,25.0368938575,121.629124156
690,25.0366842206,121.629595009
691,25.0363036948,121.629913874
692,25.0360346638,121.630019644
693,25.0357071937,121.630068136
694,25.0352784017,121.63005975
695,25.0351404084,121.630134604
696,25.0351063139,121.630191095
697,25.0351168513,121.630367345
