"noindex","log1","lat1","log2","lat2","log3","lat3","log4","lat4","row","col","centerlog","centerlat"
1,121.557,24.96,121.562,24.96,121.557,24.965,121.562,24.965,1,21,121.5595,24.9625
2,121.562,24.96,121.567,24.96,121.562,24.965,121.567,24.965,1,22,121.5645,24.9625
3,121.567,24.96,121.572,24.96,121.567,24.965,121.572,24.965,1,23,121.5695,24.9625
4,121.572,24.96,121.577,24.96,121.572,24.965,121.577,24.965,1,24,121.5745,24.9625
5,121.577,24.96,121.582,24.96,121.577,24.965,121.582,24.965,1,25,121.5795,24.9625
6,121.582,24.96,121.587,24.96,121.582,24.965,121.587,24.965,1,26,121.5845,24.9625
7,121.587,24.96,121.592,24.96,121.587,24.965,121.592,24.965,1,27,121.5895,24.9625
8,121.592,24.96,121.597,24.96,121.592,24.965,121.597,24.965,1,28,121.5945,24.9625
9,121.597,24.96,121.602,24.96,121.597,24.965,121.602,24.965,1,29,121.5995,24.9625
10,121.602,24.96,121.607,24.96,121.602,24.965,121.607,24.965,1,30,121.6045,24.9625
11,121.607,24.96,121.612,24.96,121.607,24.965,121.612,24.965,1,31,121.6095,24.9625
12,121.557,24.965,121.562,24.965,121.557,24.97,121.562,24.97,2,21,121.5595,24.9675
13,121.562,24.965,121.567,24.965,121.562,24.97,121.567,24.97,2,22,121.5645,24.9675
14,121.567,24.965,121.572,24.965,121.567,24.97,121.572,24.97,2,23,121.5695,24.9675
15,121.572,24.965,121.577,24.965,121.572,24.97,121.577,24.97,2,24,121.5745,24.9675
16,121.577,24.965,121.582,24.965,121.577,24.97,121.582,24.97,2,25,121.5795,24.9675
17,121.582,24.965,121.587,24.965,121.582,24.97,121.587,24.97,2,26,121.5845,24.9675
18,121.587,24.965,121.592,24.965,121.587,24.97,121.592,24.97,2,27,121.5895,24.9675
19,121.592,24.965,121.597,24.965,121.592,24.97,121.597,24.97,2,28,121.5945,24.9675
20,121.597,24.965,121.602,24.965,121.597,24.97,121.602,24.97,2,29,121.5995,24.9675
21,121.602,24.965,121.607,24.965,121.602,24.97,121.607,24.97,2,30,121.6045,24.9675
22,121.607,24.965,121.612,24.965,121.607,24.97,121.612,24.97,2,31,121.6095,24.9675
23,121.612,24.965,121.617,24.965,121.612,24.97,121.617,24.97,2,32,121.6145,24.9675
24,121.617,24.965,121.622,24.965,121.617,24.97,121.622,24.97,2,33,121.6195,24.9675
25,121.552,24.97,121.557,24.97,121.552,24.975,121.557,24.975,3,20,121.5545,24.9725
26,121.557,24.97,121.562,24.97,121.557,24.975,121.562,24.975,3,21,121.5595,24.9725
27,121.562,24.97,121.567,24.97,121.562,24.975,121.567,24.975,3,22,121.5645,24.9725
28,121.567,24.97,121.572,24.97,121.567,24.975,121.572,24.975,3,23,121.5695,24.9725
29,121.572,24.97,121.577,24.97,121.572,24.975,121.577,24.975,3,24,121.5745,24.9725
30,121.577,24.97,121.582,24.97,121.577,24.975,121.582,24.975,3,25,121.5795,24.9725
31,121.582,24.97,121.587,24.97,121.582,24.975,121.587,24.975,3,26,121.5845,24.9725
32,121.587,24.97,121.592,24.97,121.587,24.975,121.592,24.975,3,27,121.5895,24.9725
33,121.592,24.97,121.597,24.97,121.592,24.975,121.597,24.975,3,28,121.5945,24.9725
34,121.597,24.97,121.602,24.97,121.597,24.975,121.602,24.975,3,29,121.5995,24.9725
35,121.602,24.97,121.607,24.97,121.602,24.975,121.607,24.975,3,30,121.6045,24.9725
36,121.607,24.97,121.612,24.97,121.607,24.975,121.612,24.975,3,31,121.6095,24.9725
37,121.612,24.97,121.617,24.97,121.612,24.975,121.617,24.975,3,32,121.6145,24.9725
38,121.617,24.97,121.622,24.97,121.617,24.975,121.622,24.975,3,33,121.6195,24.9725
39,121.552,24.975,121.557,24.975,121.552,24.98,121.557,24.98,4,20,121.5545,24.9775
40,121.557,24.975,121.562,24.975,121.557,24.98,121.562,24.98,4,21,121.5595,24.9775
41,121.562,24.975,121.567,24.975,121.562,24.98,121.567,24.98,4,22,121.5645,24.9775
42,121.567,24.975,121.572,24.975,121.567,24.98,121.572,24.98,4,23,121.5695,24.9775
43,121.572,24.975,121.577,24.975,121.572,24.98,121.577,24.98,4,24,121.5745,24.9775
44,121.577,24.975,121.582,24.975,121.577,24.98,121.582,24.98,4,25,121.5795,24.9775
45,121.582,24.975,121.587,24.975,121.582,24.98,121.587,24.98,4,26,121.5845,24.9775
46,121.587,24.975,121.592,24.975,121.587,24.98,121.592,24.98,4,27,121.5895,24.9775
47,121.592,24.975,121.597,24.975,121.592,24.98,121.597,24.98,4,28,121.5945,24.9775
48,121.597,24.975,121.602,24.975,121.597,24.98,121.602,24.98,4,29,121.5995,24.9775
49,121.602,24.975,121.607,24.975,121.602,24.98,121.607,24.98,4,30,121.6045,24.9775
50,121.542,24.98,121.547,24.98,121.542,24.985,121.547,24.985,5,18,121.5445,24.9825
51,121.547,24.98,121.552,24.98,121.547,24.985,121.552,24.985,5,19,121.5495,24.9825
52,121.552,24.98,121.557,24.98,121.552,24.985,121.557,24.985,5,20,121.5545,24.9825
53,121.557,24.98,121.562,24.98,121.557,24.985,121.562,24.985,5,21,121.5595,24.9825
54,121.562,24.98,121.567,24.98,121.562,24.985,121.567,24.985,5,22,121.5645,24.9825
55,121.567,24.98,121.572,24.98,121.567,24.985,121.572,24.985,5,23,121.5695,24.9825
56,121.572,24.98,121.577,24.98,121.572,24.985,121.577,24.985,5,24,121.5745,24.9825
57,121.577,24.98,121.582,24.98,121.577,24.985,121.582,24.985,5,25,121.5795,24.9825
58,121.582,24.98,121.587,24.98,121.582,24.985,121.587,24.985,5,26,121.5845,24.9825
59,121.587,24.98,121.592,24.98,121.587,24.985,121.592,24.985,5,27,121.5895,24.9825
60,121.592,24.98,121.597,24.98,121.592,24.985,121.597,24.985,5,28,121.5945,24.9825
61,121.597,24.98,121.602,24.98,121.597,24.985,121.602,24.985,5,29,121.5995,24.9825
62,121.522,24.985,121.527,24.985,121.522,24.99,121.527,24.99,6,14,121.5245,24.9875
63,121.527,24.985,121.532,24.985,121.527,24.99,121.532,24.99,6,15,121.5295,24.9875
64,121.532,24.985,121.537,24.985,121.532,24.99,121.537,24.99,6,16,121.5345,24.9875
65,121.537,24.985,121.542,24.985,121.537,24.99,121.542,24.99,6,17,121.5395,24.9875
66,121.542,24.985,121.547,24.985,121.542,24.99,121.547,24.99,6,18,121.5445,24.9875
67,121.547,24.985,121.552,24.985,121.547,24.99,121.552,24.99,6,19,121.5495,24.9875
68,121.552,24.985,121.557,24.985,121.552,24.99,121.557,24.99,6,20,121.5545,24.9875
69,121.557,24.985,121.562,24.985,121.557,24.99,121.562,24.99,6,21,121.5595,24.9875
70,121.562,24.985,121.567,24.985,121.562,24.99,121.567,24.99,6,22,121.5645,24.9875
71,121.567,24.985,121.572,24.985,121.567,24.99,121.572,24.99,6,23,121.5695,24.9875
72,121.572,24.985,121.577,24.985,121.572,24.99,121.577,24.99,6,24,121.5745,24.9875
73,121.577,24.985,121.582,24.985,121.577,24.99,121.582,24.99,6,25,121.5795,24.9875
74,121.582,24.985,121.587,24.985,121.582,24.99,121.587,24.99,6,26,121.5845,24.9875
75,121.587,24.985,121.592,24.985,121.587,24.99,121.592,24.99,6,27,121.5895,24.9875
76,121.592,24.985,121.597,24.985,121.592,24.99,121.597,24.99,6,28,121.5945,24.9875
77,121.597,24.985,121.602,24.985,121.597,24.99,121.602,24.99,6,29,121.5995,24.9875
78,121.602,24.985,121.607,24.985,121.602,24.99,121.607,24.99,6,30,121.6045,24.9875
79,121.527,24.99,121.532,24.99,121.527,24.995,121.532,24.995,7,15,121.5295,24.9925
80,121.532,24.99,121.537,24.99,121.532,24.995,121.537,24.995,7,16,121.5345,24.9925
81,121.537,24.99,121.542,24.99,121.537,24.995,121.542,24.995,7,17,121.5395,24.9925
82,121.542,24.99,121.547,24.99,121.542,24.995,121.547,24.995,7,18,121.5445,24.9925
83,121.547,24.99,121.552,24.99,121.547,24.995,121.552,24.995,7,19,121.5495,24.9925
84,121.552,24.99,121.557,24.99,121.552,24.995,121.557,24.995,7,20,121.5545,24.9925
85,121.557,24.99,121.562,24.99,121.557,24.995,121.562,24.995,7,21,121.5595,24.9925
86,121.562,24.99,121.567,24.99,121.562,24.995,121.567,24.995,7,22,121.5645,24.9925
87,121.567,24.99,121.572,24.99,121.567,24.995,121.572,24.995,7,23,121.5695,24.9925
88,121.572,24.99,121.577,24.99,121.572,24.995,121.577,24.995,7,24,121.5745,24.9925
89,121.577,24.99,121.582,24.99,121.577,24.995,121.582,24.995,7,25,121.5795,24.9925
90,121.582,24.99,121.587,24.99,121.582,24.995,121.587,24.995,7,26,121.5845,24.9925
91,121.587,24.99,121.592,24.99,121.587,24.995,121.592,24.995,7,27,121.5895,24.9925
92,121.592,24.99,121.597,24.99,121.592,24.995,121.597,24.995,7,28,121.5945,24.9925
93,121.597,24.99,121.602,24.99,121.597,24.995,121.602,24.995,7,29,121.5995,24.9925
94,121.527,24.995,121.532,24.995,121.527,25,121.532,25,8,15,121.5295,24.9975
95,121.532,24.995,121.537,24.995,121.532,25,121.537,25,8,16,121.5345,24.9975
96,121.537,24.995,121.542,24.995,121.537,25,121.542,25,8,17,121.5395,24.9975
97,121.542,24.995,121.547,24.995,121.542,25,121.547,25,8,18,121.5445,24.9975
98,121.547,24.995,121.552,24.995,121.547,25,121.552,25,8,19,121.5495,24.9975
99,121.552,24.995,121.557,24.995,121.552,25,121.557,25,8,20,121.5545,24.9975
100,121.557,24.995,121.562,24.995,121.557,25,121.562,25,8,21,121.5595,24.9975
101,121.562,24.995,121.567,24.995,121.562,25,121.567,25,8,22,121.5645,24.9975
102,121.567,24.995,121.572,24.995,121.567,25,121.572,25,8,23,121.5695,24.9975
103,121.572,24.995,121.577,24.995,121.572,25,121.577,25,8,24,121.5745,24.9975
104,121.577,24.995,121.582,24.995,121.577,25,121.582,25,8,25,121.5795,24.9975
105,121.582,24.995,121.587,24.995,121.582,25,121.587,25,8,26,121.5845,24.9975
106,121.587,24.995,121.592,24.995,121.587,25,121.592,25,8,27,121.5895,24.9975
107,121.592,24.995,121.597,24.995,121.592,25,121.597,25,8,28,121.5945,24.9975
108,121.597,24.995,121.602,24.995,121.597,25,121.602,25,8,29,121.5995,24.9975
109,121.532,25,121.537,25,121.532,25.005,121.537,25.005,9,16,121.5345,25.0025
110,121.537,25,121.542,25,121.537,25.005,121.542,25.005,9,17,121.5395,25.0025
111,121.542,25,121.547,25,121.542,25.005,121.547,25.005,9,18,121.5445,25.0025
112,121.547,25,121.552,25,121.547,25.005,121.552,25.005,9,19,121.5495,25.0025
113,121.552,25,121.557,25,121.552,25.005,121.557,25.005,9,20,121.5545,25.0025
114,121.557,25,121.562,25,121.557,25.005,121.562,25.005,9,21,121.5595,25.0025
115,121.562,25,121.567,25,121.562,25.005,121.567,25.005,9,22,121.5645,25.0025
116,121.567,25,121.572,25,121.567,25.005,121.572,25.005,9,23,121.5695,25.0025
117,121.572,25,121.577,25,121.572,25.005,121.577,25.005,9,24,121.5745,25.0025
118,121.577,25,121.582,25,121.577,25.005,121.582,25.005,9,25,121.5795,25.0025
119,121.582,25,121.587,25,121.582,25.005,121.587,25.005,9,26,121.5845,25.0025
120,121.587,25,121.592,25,121.587,25.005,121.592,25.005,9,27,121.5895,25.0025
121,121.592,25,121.597,25,121.592,25.005,121.597,25.005,9,28,121.5945,25.0025
122,121.597,25,121.602,25,121.597,25.005,121.602,25.005,9,29,121.5995,25.0025
123,121.492,25.005,121.497,25.005,121.492,25.01,121.497,25.01,10,8,121.4945,25.0075
124,121.497,25.005,121.502,25.005,121.497,25.01,121.502,25.01,10,9,121.4995,25.0075
125,121.502,25.005,121.507,25.005,121.502,25.01,121.507,25.01,10,10,121.5045,25.0075
126,121.507,25.005,121.512,25.005,121.507,25.01,121.512,25.01,10,11,121.5095,25.0075
127,121.512,25.005,121.517,25.005,121.512,25.01,121.517,25.01,10,12,121.5145,25.0075
128,121.517,25.005,121.522,25.005,121.517,25.01,121.522,25.01,10,13,121.5195,25.0075
129,121.522,25.005,121.527,25.005,121.522,25.01,121.527,25.01,10,14,121.5245,25.0075
130,121.527,25.005,121.532,25.005,121.527,25.01,121.532,25.01,10,15,121.5295,25.0075
131,121.532,25.005,121.537,25.005,121.532,25.01,121.537,25.01,10,16,121.5345,25.0075
132,121.537,25.005,121.542,25.005,121.537,25.01,121.542,25.01,10,17,121.5395,25.0075
133,121.542,25.005,121.547,25.005,121.542,25.01,121.547,25.01,10,18,121.5445,25.0075
134,121.547,25.005,121.552,25.005,121.547,25.01,121.552,25.01,10,19,121.5495,25.0075
135,121.552,25.005,121.557,25.005,121.552,25.01,121.557,25.01,10,20,121.5545,25.0075
136,121.557,25.005,121.562,25.005,121.557,25.01,121.562,25.01,10,21,121.5595,25.0075
137,121.562,25.005,121.567,25.005,121.562,25.01,121.567,25.01,10,22,121.5645,25.0075
138,121.567,25.005,121.572,25.005,121.567,25.01,121.572,25.01,10,23,121.5695,25.0075
139,121.572,25.005,121.577,25.005,121.572,25.01,121.577,25.01,10,24,121.5745,25.0075
140,121.577,25.005,121.582,25.005,121.577,25.01,121.582,25.01,10,25,121.5795,25.0075
141,121.582,25.005,121.587,25.005,121.582,25.01,121.587,25.01,10,26,121.5845,25.0075
142,121.587,25.005,121.592,25.005,121.587,25.01,121.592,25.01,10,27,121.5895,25.0075
143,121.592,25.005,121.597,25.005,121.592,25.01,121.597,25.01,10,28,121.5945,25.0075
144,121.487,25.01,121.492,25.01,121.487,25.015,121.492,25.015,11,7,121.4895,25.0125
145,121.492,25.01,121.497,25.01,121.492,25.015,121.497,25.015,11,8,121.4945,25.0125
146,121.497,25.01,121.502,25.01,121.497,25.015,121.502,25.015,11,9,121.4995,25.0125
147,121.502,25.01,121.507,25.01,121.502,25.015,121.507,25.015,11,10,121.5045,25.0125
148,121.507,25.01,121.512,25.01,121.507,25.015,121.512,25.015,11,11,121.5095,25.0125
149,121.512,25.01,121.517,25.01,121.512,25.015,121.517,25.015,11,12,121.5145,25.0125
150,121.517,25.01,121.522,25.01,121.517,25.015,121.522,25.015,11,13,121.5195,25.0125
151,121.522,25.01,121.527,25.01,121.522,25.015,121.527,25.015,11,14,121.5245,25.0125
152,121.527,25.01,121.532,25.01,121.527,25.015,121.532,25.015,11,15,121.5295,25.0125
153,121.532,25.01,121.537,25.01,121.532,25.015,121.537,25.015,11,16,121.5345,25.0125
154,121.537,25.01,121.542,25.01,121.537,25.015,121.542,25.015,11,17,121.5395,25.0125
155,121.542,25.01,121.547,25.01,121.542,25.015,121.547,25.015,11,18,121.5445,25.0125
156,121.547,25.01,121.552,25.01,121.547,25.015,121.552,25.015,11,19,121.5495,25.0125
157,121.552,25.01,121.557,25.01,121.552,25.015,121.557,25.015,11,20,121.5545,25.0125
158,121.557,25.01,121.562,25.01,121.557,25.015,121.562,25.015,11,21,121.5595,25.0125
159,121.562,25.01,121.567,25.01,121.562,25.015,121.567,25.015,11,22,121.5645,25.0125
160,121.567,25.01,121.572,25.01,121.567,25.015,121.572,25.015,11,23,121.5695,25.0125
161,121.572,25.01,121.577,25.01,121.572,25.015,121.577,25.015,11,24,121.5745,25.0125
162,121.577,25.01,121.582,25.01,121.577,25.015,121.582,25.015,11,25,121.5795,25.0125
163,121.582,25.01,121.587,25.01,121.582,25.015,121.587,25.015,11,26,121.5845,25.0125
164,121.587,25.01,121.592,25.01,121.587,25.015,121.592,25.015,11,27,121.5895,25.0125
165,121.592,25.01,121.597,25.01,121.592,25.015,121.597,25.015,11,28,121.5945,25.0125
166,121.597,25.01,121.602,25.01,121.597,25.015,121.602,25.015,11,29,121.5995,25.0125
167,121.602,25.01,121.607,25.01,121.602,25.015,121.607,25.015,11,30,121.6045,25.0125
168,121.487,25.015,121.492,25.015,121.487,25.02,121.492,25.02,12,7,121.4895,25.0175
169,121.492,25.015,121.497,25.015,121.492,25.02,121.497,25.02,12,8,121.4945,25.0175
170,121.497,25.015,121.502,25.015,121.497,25.02,121.502,25.02,12,9,121.4995,25.0175
171,121.502,25.015,121.507,25.015,121.502,25.02,121.507,25.02,12,10,121.5045,25.0175
172,121.507,25.015,121.512,25.015,121.507,25.02,121.512,25.02,12,11,121.5095,25.0175
173,121.512,25.015,121.517,25.015,121.512,25.02,121.517,25.02,12,12,121.5145,25.0175
174,121.517,25.015,121.522,25.015,121.517,25.02,121.522,25.02,12,13,121.5195,25.0175
175,121.522,25.015,121.527,25.015,121.522,25.02,121.527,25.02,12,14,121.5245,25.0175
176,121.527,25.015,121.532,25.015,121.527,25.02,121.532,25.02,12,15,121.5295,25.0175
177,121.532,25.015,121.537,25.015,121.532,25.02,121.537,25.02,12,16,121.5345,25.0175
178,121.537,25.015,121.542,25.015,121.537,25.02,121.542,25.02,12,17,121.5395,25.0175
179,121.542,25.015,121.547,25.015,121.542,25.02,121.547,25.02,12,18,121.5445,25.0175
180,121.547,25.015,121.552,25.015,121.547,25.02,121.552,25.02,12,19,121.5495,25.0175
181,121.552,25.015,121.557,25.015,121.552,25.02,121.557,25.02,12,20,121.5545,25.0175
182,121.557,25.015,121.562,25.015,121.557,25.02,121.562,25.02,12,21,121.5595,25.0175
183,121.562,25.015,121.567,25.015,121.562,25.02,121.567,25.02,12,22,121.5645,25.0175
184,121.567,25.015,121.572,25.015,121.567,25.02,121.572,25.02,12,23,121.5695,25.0175
185,121.572,25.015,121.577,25.015,121.572,25.02,121.577,25.02,12,24,121.5745,25.0175
186,121.577,25.015,121.582,25.015,121.577,25.02,121.582,25.02,12,25,121.5795,25.0175
187,121.582,25.015,121.587,25.015,121.582,25.02,121.587,25.02,12,26,121.5845,25.0175
188,121.587,25.015,121.592,25.015,121.587,25.02,121.592,25.02,12,27,121.5895,25.0175
189,121.592,25.015,121.597,25.015,121.592,25.02,121.597,25.02,12,28,121.5945,25.0175
190,121.597,25.015,121.602,25.015,121.597,25.02,121.602,25.02,12,29,121.5995,25.0175
191,121.602,25.015,121.607,25.015,121.602,25.02,121.607,25.02,12,30,121.6045,25.0175
192,121.607,25.015,121.612,25.015,121.607,25.02,121.612,25.02,12,31,121.6095,25.0175
193,121.612,25.015,121.617,25.015,121.612,25.02,121.617,25.02,12,32,121.6145,25.0175
194,121.617,25.015,121.622,25.015,121.617,25.02,121.622,25.02,12,33,121.6195,25.0175
195,121.622,25.015,121.627,25.015,121.622,25.02,121.627,25.02,12,34,121.6245,25.0175
196,121.627,25.015,121.632,25.015,121.627,25.02,121.632,25.02,12,35,121.6295,25.0175
197,121.487,25.02,121.492,25.02,121.487,25.025,121.492,25.025,13,7,121.4895,25.0225
198,121.492,25.02,121.497,25.02,121.492,25.025,121.497,25.025,13,8,121.4945,25.0225
199,121.497,25.02,121.502,25.02,121.497,25.025,121.502,25.025,13,9,121.4995,25.0225
200,121.502,25.02,121.507,25.02,121.502,25.025,121.507,25.025,13,10,121.5045,25.0225
201,121.507,25.02,121.512,25.02,121.507,25.025,121.512,25.025,13,11,121.5095,25.0225
202,121.512,25.02,121.517,25.02,121.512,25.025,121.517,25.025,13,12,121.5145,25.0225
203,121.517,25.02,121.522,25.02,121.517,25.025,121.522,25.025,13,13,121.5195,25.0225
204,121.522,25.02,121.527,25.02,121.522,25.025,121.527,25.025,13,14,121.5245,25.0225
205,121.527,25.02,121.532,25.02,121.527,25.025,121.532,25.025,13,15,121.5295,25.0225
206,121.532,25.02,121.537,25.02,121.532,25.025,121.537,25.025,13,16,121.5345,25.0225
207,121.537,25.02,121.542,25.02,121.537,25.025,121.542,25.025,13,17,121.5395,25.0225
208,121.542,25.02,121.547,25.02,121.542,25.025,121.547,25.025,13,18,121.5445,25.0225
209,121.547,25.02,121.552,25.02,121.547,25.025,121.552,25.025,13,19,121.5495,25.0225
210,121.552,25.02,121.557,25.02,121.552,25.025,121.557,25.025,13,20,121.5545,25.0225
211,121.557,25.02,121.562,25.02,121.557,25.025,121.562,25.025,13,21,121.5595,25.0225
212,121.562,25.02,121.567,25.02,121.562,25.025,121.567,25.025,13,22,121.5645,25.0225
213,121.567,25.02,121.572,25.02,121.567,25.025,121.572,25.025,13,23,121.5695,25.0225
214,121.572,25.02,121.577,25.02,121.572,25.025,121.577,25.025,13,24,121.5745,25.0225
215,121.577,25.02,121.582,25.02,121.577,25.025,121.582,25.025,13,25,121.5795,25.0225
216,121.582,25.02,121.587,25.02,121.582,25.025,121.587,25.025,13,26,121.5845,25.0225
217,121.587,25.02,121.592,25.02,121.587,25.025,121.592,25.025,13,27,121.5895,25.0225
218,121.592,25.02,121.597,25.02,121.592,25.025,121.597,25.025,13,28,121.5945,25.0225
219,121.597,25.02,121.602,25.02,121.597,25.025,121.602,25.025,13,29,121.5995,25.0225
220,121.602,25.02,121.607,25.02,121.602,25.025,121.607,25.025,13,30,121.6045,25.0225
221,121.607,25.02,121.612,25.02,121.607,25.025,121.612,25.025,13,31,121.6095,25.0225
222,121.612,25.02,121.617,25.02,121.612,25.025,121.617,25.025,13,32,121.6145,25.0225
223,121.617,25.02,121.622,25.02,121.617,25.025,121.622,25.025,13,33,121.6195,25.0225
224,121.622,25.02,121.627,25.02,121.622,25.025,121.627,25.025,13,34,121.6245,25.0225
225,121.627,25.02,121.632,25.02,121.627,25.025,121.632,25.025,13,35,121.6295,25.0225
226,121.632,25.02,121.637,25.02,121.632,25.025,121.637,25.025,13,36,121.6345,25.0225
227,121.637,25.02,121.642,25.02,121.637,25.025,121.642,25.025,13,37,121.6395,25.0225
228,121.642,25.02,121.647,25.02,121.642,25.025,121.647,25.025,13,38,121.6445,25.0225
229,121.647,25.02,121.652,25.02,121.647,25.025,121.652,25.025,13,39,121.6495,25.0225
230,121.652,25.02,121.657,25.02,121.652,25.025,121.657,25.025,13,40,121.6545,25.0225
231,121.657,25.02,121.662,25.02,121.657,25.025,121.662,25.025,13,41,121.6595,25.0225
232,121.482,25.025,121.487,25.025,121.482,25.03,121.487,25.03,14,6,121.4845,25.0275
233,121.487,25.025,121.492,25.025,121.487,25.03,121.492,25.03,14,7,121.4895,25.0275
234,121.492,25.025,121.497,25.025,121.492,25.03,121.497,25.03,14,8,121.4945,25.0275
235,121.497,25.025,121.502,25.025,121.497,25.03,121.502,25.03,14,9,121.4995,25.0275
236,121.502,25.025,121.507,25.025,121.502,25.03,121.507,25.03,14,10,121.5045,25.0275
237,121.507,25.025,121.512,25.025,121.507,25.03,121.512,25.03,14,11,121.5095,25.0275
238,121.512,25.025,121.517,25.025,121.512,25.03,121.517,25.03,14,12,121.5145,25.0275
239,121.517,25.025,121.522,25.025,121.517,25.03,121.522,25.03,14,13,121.5195,25.0275
240,121.522,25.025,121.527,25.025,121.522,25.03,121.527,25.03,14,14,121.5245,25.0275
241,121.527,25.025,121.532,25.025,121.527,25.03,121.532,25.03,14,15,121.5295,25.0275
242,121.532,25.025,121.537,25.025,121.532,25.03,121.537,25.03,14,16,121.5345,25.0275
243,121.537,25.025,121.542,25.025,121.537,25.03,121.542,25.03,14,17,121.5395,25.0275
244,121.542,25.025,121.547,25.025,121.542,25.03,121.547,25.03,14,18,121.5445,25.0275
245,121.547,25.025,121.552,25.025,121.547,25.03,121.552,25.03,14,19,121.5495,25.0275
246,121.552,25.025,121.557,25.025,121.552,25.03,121.557,25.03,14,20,121.5545,25.0275
247,121.557,25.025,121.562,25.025,121.557,25.03,121.562,25.03,14,21,121.5595,25.0275
248,121.562,25.025,121.567,25.025,121.562,25.03,121.567,25.03,14,22,121.5645,25.0275
249,121.567,25.025,121.572,25.025,121.567,25.03,121.572,25.03,14,23,121.5695,25.0275
250,121.572,25.025,121.577,25.025,121.572,25.03,121.577,25.03,14,24,121.5745,25.0275
251,121.577,25.025,121.582,25.025,121.577,25.03,121.582,25.03,14,25,121.5795,25.0275
252,121.582,25.025,121.587,25.025,121.582,25.03,121.587,25.03,14,26,121.5845,25.0275
253,121.587,25.025,121.592,25.025,121.587,25.03,121.592,25.03,14,27,121.5895,25.0275
254,121.592,25.025,121.597,25.025,121.592,25.03,121.597,25.03,14,28,121.5945,25.0275
255,121.597,25.025,121.602,25.025,121.597,25.03,121.602,25.03,14,29,121.5995,25.0275
256,121.602,25.025,121.607,25.025,121.602,25.03,121.607,25.03,14,30,121.6045,25.0275
257,121.607,25.025,121.612,25.025,121.607,25.03,121.612,25.03,14,31,121.6095,25.0275
258,121.612,25.025,121.617,25.025,121.612,25.03,121.617,25.03,14,32,121.6145,25.0275
259,121.617,25.025,121.622,25.025,121.617,25.03,121.622,25.03,14,33,121.6195,25.0275
260,121.622,25.025,121.627,25.025,121.622,25.03,121.627,25.03,14,34,121.6245,25.0275
261,121.627,25.025,121.632,25.025,121.627,25.03,121.632,25.03,14,35,121.6295,25.0275
262,121.632,25.025,121.637,25.025,121.632,25.03,121.637,25.03,14,36,121.6345,25.0275
263,121.637,25.025,121.642,25.025,121.637,25.03,121.642,25.03,14,37,121.6395,25.0275
264,121.642,25.025,121.647,25.025,121.642,25.03,121.647,25.03,14,38,121.6445,25.0275
265,121.647,25.025,121.652,25.025,121.647,25.03,121.652,25.03,14,39,121.6495,25.0275
266,121.652,25.025,121.657,25.025,121.652,25.03,121.657,25.03,14,40,121.6545,25.0275
267,121.657,25.025,121.662,25.025,121.657,25.03,121.662,25.03,14,41,121.6595,25.0275
268,121.482,25.03,121.487,25.03,121.482,25.035,121.487,25.035,15,6,121.4845,25.0325
269,121.487,25.03,121.492,25.03,121.487,25.035,121.492,25.035,15,7,121.4895,25.0325
270,121.492,25.03,121.497,25.03,121.492,25.035,121.497,25.035,15,8,121.4945,25.0325
271,121.497,25.03,121.502,25.03,121.497,25.035,121.502,25.035,15,9,121.4995,25.0325
272,121.502,25.03,121.507,25.03,121.502,25.035,121.507,25.035,15,10,121.5045,25.0325
273,121.507,25.03,121.512,25.03,121.507,25.035,121.512,25.035,15,11,121.5095,25.0325
274,121.512,25.03,121.517,25.03,121.512,25.035,121.517,25.035,15,12,121.5145,25.0325
275,121.517,25.03,121.522,25.03,121.517,25.035,121.522,25.035,15,13,121.5195,25.0325
